日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-26,002182,13.33,13.12,13.46,13.1,112206,148903278.6,2.7,-1.5,-0.2,1.3
2025-11-27,002182,13.2,13.11,13.36,13.08,120986,159798017.8,2.13,-0.08,-0.01,1.4
2025-11-28,002182,13.1,13.34,13.4,13.08,106386,141195868.76,2.44,1.75,0.23,1.23
2025-12-01,002182,13.54,13.77,13.78,13.52,186861,255582193.45,1.95,3.22,0.43,2.16
2025-12-02,002182,13.69,13.62,13.73,13.54,115155,156905254.94,1.38,-1.09,-0.15,1.33
2025-12-03,002182,13.71,13.82,13.95,13.5,164092,225224146.14,3.3,1.47,0.2,1.9
2025-12-04,002182,13.83,13.83,14.18,13.67,155635,215979542.41,3.69,0.07,0.01,1.8
2025-12-05,002182,13.79,14.23,14.3,13.75,276143,390518835.87,3.98,2.89,0.4,3.19
2025-12-08,002182,14.23,14.27,14.72,14.23,243807,351724398.13,3.44,0.28,0.04,2.82
2025-12-09,002182,14.2,13.95,14.25,13.93,144886,203773898.19,2.24,-2.24,-0.32,1.67
2025-12-10,002182,13.98,14.23,14.33,13.79,157836,221846112.0,3.87,2.01,0.28,1.82
2025-12-11,002182,14.34,13.92,14.4,13.92,109021,153525426.72,3.37,-2.18,-0.31,1.26
2025-12-12,002182,14.05,13.95,14.1,13.88,100172,139900774.4,1.58,0.22,0.03,1.16
2025-12-15,002182,13.82,13.86,14.0,13.77,99455,137963246.03,1.65,-0.65,-0.09,1.15
2025-12-16,002182,13.8,13.41,13.8,13.26,167403,224739460.57,3.9,-3.25,-0.45,1.93
2025-12-17,002182,13.4,13.61,13.68,13.33,122618,165727265.41,2.61,1.49,0.2,1.42
2025-12-18,002182,13.62,13.58,13.9,13.51,115455,158272396.47,2.87,-0.22,-0.03,1.33
2025-12-19,002182,13.61,13.83,13.86,13.61,108070,148933157.11,1.84,1.84,0.25,1.25
2025-12-22,002182,13.93,14.04,14.16,13.92,140746,197708124.19,1.74,1.52,0.21,1.63
2025-12-23,002182,14.07,14.8,14.94,13.96,410710,599926615.54,6.98,5.41,0.76,4.75
2025-12-24,002182,14.82,14.99,15.04,14.66,288231,428868102.48,2.57,1.28,0.19,3.33
2025-12-25,002182,15.02,15.08,15.27,14.93,233143,351228484.88,2.27,0.6,0.09,2.69
2025-12-26,002182,15.08,15.4,15.52,14.84,316435,481764020.0,4.51,2.12,0.32,3.66
