日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-12-01,002324,12.75,13.02,13.11,12.75,157476,204185398.35,2.85,2.92,0.37,2.03
2025-12-02,002324,12.94,12.79,13.03,12.72,94222,120726369.07,2.38,-1.77,-0.23,1.21
2025-12-03,002324,12.81,12.61,12.88,12.54,64748,81775613.56,2.66,-1.41,-0.18,0.83
2025-12-04,002324,12.66,12.6,12.71,12.45,50580,63490362.59,2.06,-0.08,-0.01,0.65
2025-12-05,002324,12.6,12.72,12.79,12.4,69611,87787726.91,3.1,0.95,0.12,0.9
2025-12-08,002324,12.73,12.69,12.88,12.65,87078,111224862.0,1.81,-0.24,-0.03,1.12
2025-12-09,002324,12.68,12.54,12.72,12.51,60452,76211101.05,1.65,-1.18,-0.15,0.78
2025-12-10,002324,12.55,12.56,12.68,12.42,78826,98923650.69,2.07,0.16,0.02,1.02
2025-12-11,002324,12.6,12.37,12.61,12.35,65733,81956880.0,2.07,-1.51,-0.19,0.85
2025-12-12,002324,12.43,12.42,12.5,12.32,58019,72004291.52,1.46,0.4,0.05,0.75
2025-12-15,002324,12.42,12.36,12.55,12.32,75380,93661681.14,1.85,-0.48,-0.06,0.97
2025-12-16,002324,12.35,12.07,12.38,12.01,84411,102284653.29,2.99,-2.35,-0.29,1.09
2025-12-17,002324,12.13,12.34,12.39,11.97,102620,125003720.9,3.48,2.24,0.27,1.32
2025-12-18,002324,12.33,12.43,12.66,12.28,93056,116525255.98,3.08,0.73,0.09,1.2
2025-12-19,002324,12.47,12.6,12.71,12.44,92836,117104342.22,2.17,1.37,0.17,1.2
2025-12-22,002324,12.6,12.72,12.8,12.59,72144,91973532.44,1.67,0.95,0.12,0.93
2025-12-23,002324,12.73,13.11,13.21,12.66,202506,263960323.53,4.32,3.07,0.39,2.61
2025-12-24,002324,13.51,14.42,14.42,13.51,284868,403657881.73,6.94,9.99,1.31,3.67
2025-12-25,002324,14.36,14.64,14.92,13.93,615313,897128870.47,6.87,1.53,0.22,7.93
2025-12-26,002324,14.64,14.81,15.0,14.56,442000,653204104.36,3.01,1.16,0.17,5.69
2025-12-29,002324,15.66,15.42,15.91,15.34,617440,958570640.92,3.85,4.12,0.61,7.95
2025-12-30,002324,15.19,15.62,15.85,15.19,477338,743325482.53,4.28,1.3,0.2,6.15
2025-12-31,002324,15.5,15.99,16.24,15.4,392988,627272388.18,5.38,2.37,0.37,5.06
