日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-26,002701,5.62,5.64,5.69,5.6,244070,137695702.09,1.6,0.36,0.02,0.95
2025-11-27,002701,5.63,5.76,5.82,5.62,324531,186962496.98,3.55,2.13,0.12,1.27
2025-11-28,002701,5.75,5.71,5.75,5.65,196262,111839827.1,1.74,-0.87,-0.05,0.77
2025-12-01,002701,5.75,5.9,5.93,5.72,350817,204773380.71,3.68,3.33,0.19,1.37
2025-12-02,002701,5.86,5.84,5.89,5.81,173454,101209070.8,1.36,-1.02,-0.06,0.68
2025-12-03,002701,5.84,5.87,5.9,5.82,216506,126934071.48,1.37,0.51,0.03,0.85
2025-12-04,002701,5.88,5.91,5.93,5.82,235359,138296961.72,1.87,0.68,0.04,0.92
2025-12-05,002701,5.91,5.98,5.99,5.88,224749,133746676.31,1.86,1.18,0.07,0.88
2025-12-08,002701,5.98,5.77,6.0,5.76,353184,206362556.65,4.01,-3.51,-0.21,1.38
2025-12-09,002701,5.81,5.85,6.0,5.78,349173,206479550.22,3.81,1.39,0.08,1.37
2025-12-10,002701,5.82,5.88,5.95,5.81,213194,125349408.25,2.39,0.51,0.03,0.83
2025-12-11,002701,5.88,5.73,5.88,5.73,214589,124368701.5,2.55,-2.55,-0.15,0.84
2025-12-12,002701,5.9,5.93,5.99,5.75,545602,322051131.91,4.19,3.49,0.2,2.13
2025-12-15,002701,6.02,5.95,6.12,5.95,514833,310410079.9,2.87,0.34,0.02,2.01
2025-12-16,002701,5.88,5.92,6.02,5.86,378701,225334114.22,2.69,-0.5,-0.03,1.48
2025-12-17,002701,6.04,5.99,6.09,5.94,470103,283150608.16,2.53,1.18,0.07,1.84
2025-12-18,002701,6.0,6.04,6.15,5.98,418293,253836814.92,2.84,0.83,0.05,1.64
2025-12-19,002701,6.03,6.15,6.2,5.97,513802,314830666.02,3.81,1.82,0.11,2.01
2025-12-22,002701,6.12,6.05,6.15,6.03,431349,261817099.45,1.95,-1.63,-0.1,1.69
2025-12-23,002701,6.06,6.08,6.1,5.97,355550,214324450.08,2.15,0.5,0.03,1.39
2025-12-24,002701,6.03,6.19,6.23,6.0,491680,301701931.67,3.78,1.81,0.11,1.92
2025-12-25,002701,6.23,6.18,6.35,6.14,453557,282108019.22,3.39,-0.16,-0.01,1.77
2025-12-26,002701,6.18,6.16,6.21,6.11,266399,163876315.68,1.62,-0.32,-0.02,1.04
