日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-12-01,300034,16.2,16.58,16.65,16.19,146760,242393332.0,2.85,2.66,0.43,1.91
2025-12-02,300034,16.51,16.44,16.74,16.42,83885,138442212.0,1.93,-0.84,-0.14,1.09
2025-12-03,300034,16.42,16.55,16.73,16.28,115748,191011491.0,2.74,0.67,0.11,1.51
2025-12-04,300034,16.45,16.72,16.79,16.42,151493,252838676.0,2.24,1.03,0.17,1.98
2025-12-05,300034,16.68,16.92,16.93,16.59,158599,266299097.0,2.03,1.2,0.2,2.07
2025-12-08,300034,17.26,17.34,17.85,17.25,418220,732054102.0,3.55,2.48,0.42,5.46
2025-12-09,300034,17.28,17.17,17.48,17.06,178523,307121118.0,2.42,-0.98,-0.17,2.33
2025-12-10,300034,17.1,17.4,17.45,17.06,173805,300439954.0,2.27,1.34,0.23,2.27
2025-12-11,300034,17.4,17.25,17.6,17.23,177847,309490308.0,2.13,-0.86,-0.15,2.32
2025-12-12,300034,17.28,17.99,18.12,17.21,474383,838912142.0,5.28,4.29,0.74,6.19
2025-12-15,300034,18.19,19.27,20.69,17.94,1049182,2006410329.0,15.29,7.12,1.28,13.69
2025-12-16,300034,19.31,18.73,19.45,18.34,689404,1287875694.0,5.76,-2.8,-0.54,8.99
2025-12-17,300034,18.49,18.3,18.59,17.8,440792,799474750.0,4.22,-2.3,-0.43,5.75
2025-12-18,300034,18.11,18.77,19.16,17.98,596271,1112719458.0,6.45,2.57,0.47,7.78
2025-12-19,300034,18.73,18.88,19.37,18.59,449992,850185446.0,4.16,0.59,0.11,5.87
2025-12-22,300034,18.95,18.52,19.06,18.47,363502,680270556.0,3.13,-1.91,-0.36,4.74
2025-12-23,300034,18.6,18.19,18.86,18.1,374493,689889882.0,4.1,-1.78,-0.33,4.88
2025-12-24,300034,17.75,18.8,19.08,17.74,381102,708193039.0,7.37,3.35,0.61,4.97
2025-12-25,300034,18.93,19.65,19.99,18.81,587433,1147779458.0,6.28,4.52,0.85,7.66
2025-12-26,300034,19.68,19.58,20.17,19.38,533072,1048604904.0,4.02,-0.36,-0.07,6.95
2025-12-29,300034,19.43,19.77,20.2,19.21,506227,1003052312.0,5.06,0.97,0.19,6.6
2025-12-30,300034,19.66,19.2,19.74,19.09,411096,797517314.0,3.29,-2.88,-0.57,5.36
2025-12-31,300034,19.23,19.58,19.75,18.93,362776,702978895.62,4.27,1.98,0.38,4.73
