日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-12-16,600096,29.7,28.77,29.72,28.6,344461,996710898.0,3.77,-3.2,-0.95,1.89
2025-12-17,600096,28.71,29.63,29.76,28.71,356059,1042742019.0,3.65,2.99,0.86,1.95
2025-12-18,600096,29.48,29.77,29.98,29.28,310712,924154045.0,2.36,0.47,0.14,1.7
2025-12-19,600096,29.74,29.85,30.21,29.48,351848,1052429783.0,2.45,0.27,0.08,1.93
2025-12-22,600096,30.09,30.71,30.82,30.08,387562,1181732297.0,2.48,2.88,0.86,2.13
2025-12-23,600096,30.71,30.81,31.03,30.3,354281,1087322410.0,2.38,0.33,0.1,1.94
2025-12-24,600096,30.82,30.79,30.83,30.32,284475,869964445.0,1.66,-0.06,-0.02,1.56
2025-12-25,600096,31.5,31.55,32.2,30.83,581676,1831959051.0,4.45,2.47,0.76,3.19
2025-12-26,600096,31.69,32.8,32.8,31.36,609875,1961341572.0,4.56,3.96,1.25,3.35
2025-12-29,600096,33.01,32.58,33.55,32.3,646771,2121988980.0,3.81,-0.67,-0.22,3.55
2025-12-30,600096,32.19,33.82,34.39,31.95,671039,2245203984.0,7.49,3.81,1.24,3.68
2025-12-31,600096,33.66,33.41,33.77,33.14,410569,1370789786.0,1.86,-1.21,-0.41,2.25
2026-01-05,600096,33.6,33.81,34.37,33.53,526608,1784902931.0,2.51,1.2,0.4,2.89
2026-01-06,600096,33.7,35.72,36.04,33.7,771398,2704227452.0,6.92,5.65,1.91,4.23
2026-01-07,600096,35.72,35.41,35.91,35.1,565195,2004843145.0,2.27,-0.87,-0.31,3.1
2026-01-08,600096,35.25,34.7,35.4,34.35,493141,1718722015.0,2.97,-2.01,-0.71,2.71
2026-01-09,600096,34.5,34.6,34.97,33.98,447889,1544750796.0,2.85,-0.29,-0.1,2.46
2026-01-12,600096,34.55,33.68,34.57,33.42,586007,1978987612.0,3.32,-2.66,-0.92,3.21
2026-01-13,600096,33.9,34.27,34.85,33.86,486206,1672174733.0,2.94,1.75,0.59,2.67
2026-01-14,600096,34.27,34.29,34.8,33.84,525901,1803646592.0,2.8,0.06,0.02,2.88
2026-01-15,600096,34.2,35.27,36.7,34.12,654271,2318038472.0,7.52,2.86,0.98,3.59
