日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-12-16,600151,16.68,17.18,18.26,15.28,3733937,6124803196.0,17.59,1.42,0.24,26.03
2025-12-17,600151,16.8,18.12,18.6,16.52,3132538,5588735931.0,12.11,5.47,0.94,21.84
2025-12-18,600151,17.71,18.98,19.34,17.21,2947991,5485587768.0,11.75,4.75,0.86,20.55
2025-12-19,600151,18.85,18.88,19.37,18.4,2515166,4764924466.0,5.11,-0.53,-0.1,17.54
2025-12-22,600151,18.89,17.84,19.0,17.77,2189585,4004364764.0,6.51,-5.51,-1.04,15.27
2025-12-23,600151,18.1,16.06,18.2,16.06,2561152,4281419315.0,12.0,-9.98,-1.78,17.86
2025-12-24,600151,14.45,15.9,16.3,14.45,2972268,4593071056.0,11.52,-1.0,-0.16,20.72
2025-12-25,600151,15.86,16.45,16.88,15.68,2708186,4408481900.0,7.55,3.46,0.55,18.88
2025-12-26,600151,16.46,16.63,16.94,16.0,2614694,4321578534.0,5.71,1.09,0.18,18.23
2025-12-29,600151,16.4,18.29,18.29,15.86,3196997,5448156622.0,14.61,9.98,1.66,22.29
2025-12-30,600151,18.57,17.3,19.59,17.14,3574228,6632180064.0,13.4,-5.41,-0.99,24.92
2025-12-31,600151,17.41,17.55,18.1,16.98,2753669,4850784608.0,6.47,1.45,0.25,19.2
2026-01-05,600151,17.48,19.31,19.31,16.18,3142729,5518300868.0,17.83,10.03,1.76,21.91
2026-01-06,600151,19.09,19.71,20.46,18.31,3565556,6927444782.0,11.13,2.07,0.4,24.86
2026-01-07,600151,18.82,19.0,20.11,18.56,2343289,4495816176.0,7.86,-3.6,-0.71,16.34
2026-01-08,600151,18.66,20.35,20.78,18.63,2798832,5600345215.0,11.32,7.11,1.35,19.51
2026-01-09,600151,21.5,20.72,22.2,20.39,2934232,6226494919.0,8.89,1.82,0.37,20.46
2026-01-12,600151,21.2,22.79,22.79,20.8,2942768,6582962169.0,9.6,9.99,2.07,20.52
2026-01-13,600151,22.79,20.51,22.8,20.51,1872393,3877379525.0,10.05,-10.0,-2.28,13.05
2026-01-14,600151,19.5,18.83,20.2,18.46,2685132,5165168737.0,8.48,-8.19,-1.68,18.72
2026-01-15,600151,19.0,19.91,20.51,18.41,3306524,6493662619.0,11.15,5.74,1.08,23.05
