日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-12-01,600580,41.8,43.06,43.45,41.59,1009419,4328341077.0,4.48,3.63,1.51,6.46
2025-12-02,600580,43.0,41.75,43.04,41.7,665164,2805317415.0,3.11,-3.04,-1.31,4.26
2025-12-03,600580,41.65,40.66,42.18,40.52,467314,1914963530.0,3.98,-2.61,-1.09,2.99
2025-12-04,600580,41.65,42.3,42.92,41.2,954835,4022441260.0,4.23,4.03,1.64,6.11
2025-12-05,600580,41.81,42.36,42.5,41.34,633149,2664827210.0,2.74,0.14,0.06,4.05
2025-12-08,600580,42.39,44.02,44.31,41.9,1057354,4594803851.0,5.69,3.92,1.66,6.77
2025-12-09,600580,43.87,43.22,44.41,43.1,768983,3359180757.0,2.98,-1.82,-0.8,4.92
2025-12-10,600580,43.35,43.32,43.5,42.72,500836,2159798285.0,1.8,0.23,0.1,3.21
2025-12-11,600580,43.5,42.5,43.57,42.24,473738,2028651362.0,3.07,-1.89,-0.82,3.03
2025-12-12,600580,42.35,42.15,42.58,41.27,547426,2296297284.0,3.08,-0.82,-0.35,3.5
2025-12-15,600580,41.7,40.86,41.89,40.8,440686,1818792251.0,2.59,-3.06,-1.29,2.82
2025-12-16,600580,40.55,39.29,40.74,39.04,479966,1908591961.0,4.16,-3.84,-1.57,3.07
2025-12-17,600580,39.3,40.0,40.32,39.22,453032,1800604468.0,2.8,1.81,0.71,2.9
2025-12-18,600580,39.58,39.28,40.52,39.27,365083,1454878750.0,3.13,-1.8,-0.72,2.34
2025-12-19,600580,39.6,39.83,40.29,39.6,354492,1417670196.0,1.76,1.4,0.55,2.28
2025-12-22,600580,40.96,43.81,43.81,40.83,1648649,7089229662.0,7.48,9.99,3.98,10.58
2025-12-23,600580,43.81,43.35,44.27,42.96,1274735,5558605606.0,2.99,-1.05,-0.46,8.18
2025-12-24,600580,43.05,43.89,43.97,42.77,784566,3418270965.0,2.77,1.25,0.54,5.04
2025-12-25,600580,43.99,45.77,46.5,43.95,1578726,7162212574.0,5.81,4.28,1.88,10.14
2025-12-26,600580,45.71,46.49,46.5,44.65,1258995,5727606566.0,4.04,1.57,0.72,8.08
2025-12-29,600580,46.89,46.35,48.19,45.87,1359067,6367433185.0,4.99,-0.3,-0.14,8.73
