日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-12-01,603556,33.7,35.32,35.42,33.6,77361,269826985.0,5.4,4.74,1.6,1.59
2025-12-02,603556,35.24,33.98,35.24,33.95,43515,149285669.0,3.65,-3.79,-1.34,0.89
2025-12-03,603556,34.03,34.21,34.68,33.99,29956,102754004.0,2.03,0.68,0.23,0.62
2025-12-04,603556,34.23,34.07,34.83,33.91,21642,73899129.0,2.69,-0.41,-0.14,0.45
2025-12-05,603556,34.13,34.8,34.9,33.81,32796,113338987.0,3.2,2.14,0.73,0.67
2025-12-08,603556,34.8,34.57,35.05,33.98,46751,161159356.0,3.07,-0.66,-0.23,0.96
2025-12-09,603556,34.57,34.37,35.1,34.2,25276,87730844.0,2.6,-0.58,-0.2,0.52
2025-12-10,603556,34.38,33.69,34.38,33.49,34122,115357686.0,2.59,-1.98,-0.68,0.7
2025-12-11,603556,33.83,33.27,34.06,33.21,33959,114181416.0,2.52,-1.25,-0.42,0.7
2025-12-12,603556,33.31,34.44,34.87,33.23,101796,350129914.0,4.93,3.52,1.17,2.09
2025-12-15,603556,34.39,34.94,35.24,34.24,63839,222699333.0,2.9,1.45,0.5,1.31
2025-12-16,603556,34.76,34.03,34.94,33.8,42616,145577121.0,3.26,-2.6,-0.91,0.88
2025-12-17,603556,33.96,34.22,34.43,33.15,52330,176426261.0,3.76,0.56,0.19,1.08
2025-12-18,603556,34.01,33.3,34.21,33.08,41953,140143887.0,3.3,-2.69,-0.92,0.86
2025-12-19,603556,33.42,33.1,33.87,33.01,37587,125393369.0,2.58,-0.6,-0.2,0.77
2025-12-22,603556,33.11,33.6,33.77,33.01,38731,129844628.0,2.3,1.51,0.5,0.8
2025-12-23,603556,33.58,34.27,34.4,33.3,50959,172805625.0,3.27,1.99,0.67,1.05
2025-12-24,603556,34.19,34.73,35.2,33.81,42779,148413973.0,4.06,1.34,0.46,0.88
2025-12-25,603556,34.73,34.56,35.19,34.3,33195,115016023.0,2.56,-0.49,-0.17,0.68
2025-12-26,603556,34.6,34.57,35.0,34.36,28461,98689288.0,1.85,0.03,0.01,0.59
2025-12-29,603556,34.47,34.71,35.22,34.2,39232,136563077.0,2.95,0.4,0.14,0.81
