日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-12-01,605090,33.26,32.17,33.28,32.02,82544,267678794.0,3.76,-3.97,-1.33,1.19
2025-12-02,605090,32.28,32.26,32.95,32.03,48868,158794777.0,2.86,0.28,0.09,0.7
2025-12-03,605090,32.26,32.15,32.55,31.62,49036,157231218.0,2.88,-0.34,-0.11,0.71
2025-12-04,605090,32.01,32.1,32.33,31.75,45081,144367406.0,1.8,-0.16,-0.05,0.65
2025-12-05,605090,32.04,32.86,33.28,32.04,68395,224720229.0,3.86,2.37,0.76,0.99
2025-12-08,605090,33.5,33.34,34.77,33.3,132669,449566421.0,4.47,1.46,0.48,1.91
2025-12-09,605090,33.03,32.58,33.33,32.57,59316,194533091.0,2.28,-2.28,-0.76,0.86
2025-12-10,605090,32.66,33.38,33.7,32.53,70629,235624311.0,3.59,2.46,0.8,1.02
2025-12-11,605090,33.75,34.42,34.82,33.51,150214,514015693.0,3.92,3.12,1.04,2.17
2025-12-12,605090,34.48,37.86,37.86,33.97,445404,1625788254.0,11.3,9.99,3.44,6.42
2025-12-15,605090,38.0,38.2,39.5,36.23,483941,1826153741.0,8.64,0.9,0.34,6.98
2025-12-16,605090,37.5,36.99,37.67,36.03,257075,945315531.0,4.29,-3.17,-1.21,3.71
2025-12-17,605090,36.8,35.95,37.28,35.28,221400,797429655.0,5.41,-2.81,-1.04,3.19
2025-12-18,605090,36.26,36.75,37.99,36.01,237144,882151856.0,5.51,2.23,0.8,3.42
2025-12-19,605090,36.5,37.98,38.4,36.48,231920,875243507.0,5.22,3.35,1.23,3.34
2025-12-22,605090,38.4,37.94,38.78,37.23,232096,876959962.0,4.08,-0.11,-0.04,3.35
2025-12-23,605090,38.13,36.7,39.02,35.98,312817,1168277936.0,8.01,-3.27,-1.24,4.51
2025-12-24,605090,37.57,40.37,40.37,37.0,366367,1438539032.0,9.18,10.0,3.67,5.28
2025-12-25,605090,41.9,40.74,42.37,40.6,582863,2409692665.0,4.38,0.92,0.37,8.4
2025-12-26,605090,40.75,41.76,43.95,40.75,517682,2196466281.0,7.85,2.5,1.02,7.46
2025-12-29,605090,42.8,45.94,45.94,42.22,560798,2499605433.0,8.91,10.01,4.18,8.08
