日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-12-16,688591,43.93,42.9,44.48,42.4,46217,199086452.0,4.73,-2.48,-1.09,2.74
2025-12-17,688591,42.9,43.76,44.05,42.31,40696,175333924.0,4.06,2.0,0.86,2.42
2025-12-18,688591,43.6,43.2,44.11,43.2,30184,131666420.0,2.08,-1.28,-0.56,1.79
2025-12-19,688591,43.63,42.58,43.83,42.53,39083,168657263.0,3.01,-1.44,-0.62,2.32
2025-12-22,688591,43.1,43.44,43.96,42.8,40228,175021461.0,2.72,2.02,0.86,2.39
2025-12-23,688591,43.13,42.95,43.9,42.9,37622,162665604.0,2.3,-1.13,-0.49,2.23
2025-12-24,688591,42.99,44.53,44.77,42.95,56923,249948946.0,4.24,3.68,1.58,3.38
2025-12-25,688591,44.9,44.96,45.34,44.32,49465,221673490.0,2.29,0.97,0.43,2.94
2025-12-26,688591,45.01,43.98,45.13,43.92,53883,239194694.0,2.69,-2.18,-0.98,3.2
2025-12-29,688591,43.98,43.54,44.57,43.48,58603,258089415.0,2.48,-1.0,-0.44,3.48
2025-12-30,688591,43.51,43.48,44.08,43.06,54547,237852266.0,2.34,-0.14,-0.06,3.24
2025-12-31,688591,43.73,42.56,43.97,42.56,51106,219761385.0,3.24,-2.12,-0.92,3.03
2026-01-05,688591,42.95,45.66,45.89,42.94,105455,472633143.0,6.93,7.28,3.1,6.26
2026-01-06,688591,46.3,45.78,46.3,45.01,77796,355788491.0,2.83,0.26,0.12,4.62
2026-01-07,688591,45.78,45.99,46.58,45.46,78528,361271403.0,2.45,0.46,0.21,4.66
2026-01-08,688591,45.92,46.33,46.9,45.61,74922,347812115.0,2.8,0.74,0.34,4.45
2026-01-09,688591,46.2,46.57,46.58,45.51,72814,336063301.0,2.31,0.52,0.24,4.32
2026-01-12,688591,46.88,48.72,48.72,46.06,131920,627212816.0,5.71,4.62,2.15,7.83
2026-01-13,688591,49.0,46.48,49.5,46.12,126635,599329370.0,6.94,-4.6,-2.24,7.52
2026-01-14,688591,46.18,49.7,51.37,46.18,201608,987889448.0,11.17,6.93,3.22,11.97
2026-01-15,688591,49.98,49.95,50.86,48.38,140865,698498190.0,4.99,0.5,0.25,8.36
