代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
920000,安徽凤凰,19.92,-0.17,-0.846,19.92,19.93,20.09,20.15,20.22,19.89,900101.0,17969476.0,13:14:32
920001,纬达光电,19.92,-0.74,-3.582,19.91,19.93,20.66,20.55,20.7,19.92,1410871.0,28445116.0,13:14:32
920002,万达轴承,106.33,-2.52,-2.315,106.33,106.49,108.85,109.56,110.54,106.17,575706.0,62181727.0,13:14:32
920003,中诚咨询,33.75,-0.53,-1.546,33.71,33.75,34.28,34.28,34.28,33.63,645107.0,21827464.0,13:14:32
920005,鼎佳精密,42.47,-0.35,-0.817,42.35,42.47,42.82,42.86,43.12,41.99,390313.0,16515620.0,13:14:32
920006,晟楠科技,27.41,-1.04,-3.656,27.41,27.42,28.45,28.45,28.67,27.41,1732222.0,48132819.0,13:14:32
920007,酉立智能,73.93,-6.52,-8.104,73.93,74.01,80.45,77.13,79.0,73.28,1919750.0,144381632.0,13:14:32
920008,成电光信,31.86,-0.79,-2.42,31.86,31.87,32.65,32.78,32.92,31.83,875711.0,28147119.0,13:14:32
920009,丹娜生物,87.19,7.01,8.743,87.19,87.46,80.18,80.63,87.99,80.51,1325490.0,111627023.0,13:14:32
920010,凯添燃气,12.86,0.01,0.078,12.86,12.87,12.85,12.99,13.23,12.77,9339332.0,121439289.0,13:14:32
920014,特瑞斯,14.16,-0.44,-3.014,14.16,14.2,14.6,14.47,14.96,13.85,9174098.0,130872431.0,13:14:32
920015,锦华新材,55.17,-2.12,-3.7,55.17,55.19,57.29,56.95,57.46,54.89,1575661.0,87898256.0,13:14:32
920016,中草香料,20.36,-0.05,-0.245,20.36,20.39,20.41,20.44,20.44,20.09,631162.0,12779847.0,13:14:32
920017,星昊医药,20.34,0.46,2.314,20.34,20.35,19.88,19.9,20.4,19.71,3954311.0,79491485.0,13:14:32
920018,宏远股份,30.14,-0.35,-1.148,30.14,30.22,30.49,30.5,30.92,30.11,2084881.0,63899349.0,13:14:32
920019,铜冠矿建,25.47,4.02,18.741,25.46,25.47,21.45,21.79,26.86,21.78,17405136.0,424949341.0,13:14:32
920020,泰凯英,17.39,-0.16,-0.912,17.39,17.42,17.55,17.56,17.65,17.35,1307780.0,22865720.0,13:14:32
920021,流金科技,11.7,-0.78,-6.25,11.69,11.7,12.48,12.31,12.9,11.48,44301199.0,531251573.0,13:14:32
920022,世昌股份,31.08,-0.75,-2.356,31.08,31.19,31.83,31.63,31.71,30.96,1158529.0,36301260.0,13:14:32
920023,田野股份,4.65,-0.11,-2.311,4.65,4.66,4.76,4.76,4.76,4.64,9920599.0,46404280.0,13:14:32
